"item_lc116","cclasstrib","nome_cclasstrib"
"13.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.01","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"14.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.02","200044","Operações e prestações de serviços de segurança da informação e segurança cibernética desenvolvidos por sociedade que tenha sócio brasileiro (Anexo XI)"
"14.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.11","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.12","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.13","000001","Situações tributadas integralmente pelo IBS e CBS."
"14.14","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.01","010002","Operações do serviço financeiro"
"15.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.07","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.09","010002","Operações do serviço financeiro"
"15.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.11","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.12","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.13","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.14","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.15","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.16","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.17","000001","Situações tributadas integralmente pelo IBS e CBS."
"15.18","000001","Situações tributadas integralmente pelo IBS e CBS."
"16.01","400001","Fornecimento de serviços de transporte público coletivo de passageiros rodoviário e metroviário"
"16.01","200021","Serviços de transporte público coletivo de passageiros ferroviário e hidroviário"
"16.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"16.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.06","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.08","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.09","200038","Fornecimento dos insumos agropecuários e aquícolas (Anexo IX)"
"17.09","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.10","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.11","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.12","200046","Operações com bens imóveis"
"17.12","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.13","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.14","200052","Prestação de serviços de profissões intelectuais"
"17.15","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.16","200052","Prestação de serviços de profissões intelectuais"
"17.16","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.17","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.18","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.19","200052","Prestação de serviços de profissões intelectuais"
"17.20","200052","Prestação de serviços de profissões intelectuais"
"17.21","200052","Prestação de serviços de profissões intelectuais"
"17.22","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.23","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.24","000001","Situações tributadas integralmente pelo IBS e CBS."
"17.25","000001","Situações tributadas integralmente pelo IBS e CBS."
"18.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"19.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"20.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"20.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"20.03","000001","Situações tributadas integralmente pelo IBS e CBS."
"21.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"22.01","000002","Exploração de via"
"23.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"24.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"25.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"25.01","200029","Fornecimento dos serviços de saúde humana (Anexo III)"
"25.02","000001","Situações tributadas integralmente pelo IBS e CBS."
"25.02","200029","Fornecimento dos serviços de saúde humana (Anexo III)"
"25.03","011001","Planos de assistência funerária."
"25.04","000001","Situações tributadas integralmente pelo IBS e CBS."
"25.05","000001","Situações tributadas integralmente pelo IBS e CBS."
"26.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"27.01","200052","Prestação de serviços de profissões intelectuais"
"28.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"29.01","200052","Prestação de serviços de profissões intelectuais"
"30.01","200052","Prestação de serviços de profissões intelectuais"
"31.01","200052","Prestação de serviços de profissões intelectuais"
"32.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"33.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"34.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"35.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"35.01","200040","Fornecimento de serviços de comunicação institucional à administração pública"
"35.01","200052","Prestação de serviços de profissões intelectuais"
"36.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"37.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"37.01","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"38.01","200039","Fornecimento dos serviços e o licenciamento ou cessão dos direitos destinados às produções nacionais artísticas (Anexo X)"
"38.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"39.01","000001","Situações tributadas integralmente pelo IBS e CBS."
"40.01","000001","Situações tributadas integralmente pelo IBS e CBS."
