"item_lc116","nbs","descricao_nbs"
"07.01","1.1403.22.21","Serviços de engenharia para projetos de veículos terrestres"
"07.01","1.1403.22.22","Serviços de engenharia para projetos de embarcações"
"07.01","1.1403.22.23","Serviços de engenharia para projetos de veículos aéreos e aeroespaciais"
"07.01","1.1403.22.90","Serviços de engenharia para outros projetos industriais e de fabricação, exceto para projetos de energia"
"07.01","1.1403.23.00","Serviços de engenharia para projetos de infraestrutura de transportes"
"07.01","1.1403.24.00","Serviços de engenharia para projetos de energia"
"07.01","1.1403.25.00","Serviços de engenharia para projetos de telecomunicações, radiodifusão e televisão"
"07.01","1.1403.26.00","Serviços de engenharia para projetos de gerenciamento de resíduos (perigosos e não perigosos)"
"07.01","1.1403.27.00","Serviços de engenharia para projetos de distribuição de água e rede de esgoto"
"07.01","1.1403.29.00","Serviços de engenharia para outros projetos"
"07.01","1.1403.30.00","Serviços de gerenciamento de projetos de construção"
"07.01","1.1403.90.00","Serviços de engenharia não classificados em subposições anteriores"
"07.01","1.1404.11.00","Serviços de consultoria geológica e geofísica"
"07.01","1.1404.12.00","Serviços geofísicos"
"07.01","1.1404.13.00","Serviços geoquímicos"
"07.01","1.1404.14.00","Serviços de informações para avaliação e exploração de recursos naturais"
"07.01","1.1404.19.00","Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores"
"07.02","1.0101.11.00","Serviços de construção de edificações residenciais de um e dois pavimentos"
"07.02","1.0101.12.00","Serviços de construção de edificações residenciais com mais de dois pavimentos"
"07.02","1.0101.21.00","Serviços de construção de edificações industriais"
"07.02","1.0101.22.00","Serviços de construção de edificações comerciais"
"07.02","1.0101.29.00","Serviços de construção de edificações não residenciais não classificados em subposições anteriores"
"07.02","1.0101.30.00","Serviços de construção de edificações de uso misto (residencial e não residencial)"
"07.02","1.0102.11.00","Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas"
"07.02","1.0102.12.00","Serviços de construção de ferrovias"
"07.02","1.0102.13.00","Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária"
"07.02","1.0102.20.00","Serviços de construção de pontes, autoestradas elevadas e túneis"
"07.02","1.0102.31.00","Serviços de construção de infraestrutura de proteção e acesso aquaviário"
"07.02","1.0102.32.00","Serviços de construção de infraestrutura de acostagem aquaviária"
"07.02","1.0102.33.00","Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos"
"07.02","1.0102.34.00","Serviços de construção de barragens"
"07.02","1.0102.35.10","Serviços de construção de adutoras em conduto livre"
"07.02","1.0102.35.20","Serviços de construção de sistemas de irrigação"
"07.02","1.0102.35.30","Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização"
"07.02","1.0102.41.10","Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás"
"07.02","1.0102.41.20","Serviços de construção de dutos de longo curso para o transporte e escoamento de águas"
"07.02","1.0102.41.90","Serviços de construção de dutos de longo curso não classificados em subposições anteriores"
"07.02","1.0102.42.10","Serviços de construção de linhas de comunicação de longo curso"
"07.02","1.0102.42.20","Serviços de construção de linhas de transmissão de alta tensão"
"07.02","1.0102.51.00","Serviços de construção de dutos locais"
"07.02","1.0102.52.10","Serviços de construção de linhas locais de comunicação"
"07.02","1.0102.52.20","Serviços de construção de linhas locais de transmissão de baixa e média tensão"
"07.02","1.0102.53.10","Serviços de construção de sistemas de esgotos"
"07.02","1.0102.53.20","Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água"
"07.02","1.0102.61.00","Serviços de construção de usinas de geração de energia"
"07.02","1.0102.69.00","Serviços de construção de instalações industriais não classificados em subposições anteriores"
"07.02","1.0102.70.00","Serviços de construção de minas e suas unidades industriais"
"07.02","1.0102.80.00","Serviços de construção de instalações para recreação e atividades desportivas ao ar livre"
"07.02","1.0102.90.00","Serviços de construção de obras de engenharia civil não classificados em subposições anteriores"
"07.02","1.0103.20.00","Serviços de preparação de terrenos e de canteiros de obras"
"07.02","1.0103.30.00","Serviços de escavação e remoção de terra"
"07.02","1.0103.41.00","Serviços de perfuração de poços de água"
"07.02","1.0103.42.00","Serviços de instalação de sistemas sépticos"
"07.02","1.0104.00.00","Serviços de montagem e de edificação de construções pré-fabricadas"
"07.02","1.0105.11.00","Serviços de estaqueamento"
"07.02","1.0105.12.00","Serviços de fundação"
"07.02","1.0105.21.00","Serviços de construção de estruturas de edificações"
"07.02","1.0105.22.00","Serviços de construção de estruturas de telhados e coberturas"
"07.02","1.0105.30.00","Serviços de construção de telhados e coberturas e serviços de impermeabilização"
"07.02","1.0105.40.00","Serviços de concretagem"
"07.02","1.0105.50.00","Serviços de montagem de estruturas de aço"
"07.02","1.0105.60.00","Serviços de alvenaria"
"07.02","1.0105.90.00","Serviços especializados de construção não classificados em subposições anteriores"
"07.02","1.0106.11.00","Serviços de instalação de fiação elétrica e componentes"
"07.02","1.0106.19.00","Serviços de instalação elétrica não classificados em subposições anteriores"
"07.02","1.0106.21.00","Serviços de instalação de tubulação para fornecimento de água"
"07.02","1.0106.22.00","Serviços de instalação de tubulação para escoamento de água"
"07.02","1.0106.60.00","Serviços de instalação de elevadores, esteiras e escadas rolantes"
"07.02","1.0107.30.00","Serviços de pintura"
"07.02","1.0107.40.00","Serviços de revestimento de pisos e de paredes"
"07.02","1.0106.32.00","Serviços de instalação de equipamentos de ventilação e de ar condicionado"
"07.02","1.0106.40.00","Serviços de instalação de gás"
"07.03","1.1402.11.00","Serviços de consultoria em arquitetura"
"07.03","1.1403.10.00","Serviços de consultoria em engenharia"
"07.03","1.1402.21.00","Serviços de planejamento urbano"
"07.03","1.1402.22.00","Serviços de planejamento de áreas rurais"
"07.04","1.0103.10.00","Serviços de demolição"
"07.05","1.0101.11.00","Serviços de construção de edificações residenciais de um e dois pavimentos"
"07.05","1.0101.12.00","Serviços de construção de edificações residenciais com mais de dois pavimentos"
"07.05","1.0101.21.00","Serviços de construção de edificações industriais"
"07.05","1.0101.22.00","Serviços de construção de edificações comerciais"
"07.05","1.0101.29.00","Serviços de construção de edificações não residenciais não classificados em subposições anteriores"
"07.05","1.0101.30.00","Serviços de construção de edificações de uso misto (residencial e não residencial)"
"07.05","1.0102.11.00","Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas"
"07.05","1.0102.12.00","Serviços de construção de ferrovias"
"07.05","1.0102.13.00","Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária"
"07.05","1.0102.20.00","Serviços de construção de pontes, autoestradas elevadas e túneis"
"07.05","1.0102.31.00","Serviços de construção de infraestrutura de proteção e acesso aquaviário"
"07.05","1.0102.32.00","Serviços de construção de infraestrutura de acostagem aquaviária"
"07.05","1.0102.33.00","Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos"
"07.05","1.0102.34.00","Serviços de construção de barragens"
"07.05","1.0102.35.10","Serviços de construção de adutoras em conduto livre"
"07.05","1.0102.35.20","Serviços de construção de sistemas de irrigação"
"07.05","1.0102.35.30","Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização"
"07.05","1.0102.41.10","Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás"
"07.05","1.0102.41.20","Serviços de construção de dutos de longo curso para o transporte e escoamento de águas"
"07.05","1.0102.41.90","Serviços de construção de dutos de longo curso não classificados em subposições anteriores"
"07.05","1.0102.42.10","Serviços de construção de linhas de comunicação de longo curso"
"07.05","1.0102.42.20","Serviços de construção de linhas de transmissão de alta tensão"
"07.05","1.0102.51.00","Serviços de construção de dutos locais"
"07.05","1.0102.52.10","Serviços de construção de linhas locais de comunicação"
"07.05","1.0102.52.20","Serviços de construção de linhas locais de transmissão de baixa e média tensão"
"07.05","1.0102.53.10","Serviços de construção de sistemas de esgotos"
"07.05","1.0102.53.20","Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água"
"07.05","1.0102.61.00","Serviços de construção de usinas de geração de energia"
"07.05","1.0102.69.00","Serviços de construção de instalações industriais não classificados em subposições anteriores"
"07.05","1.0102.70.00","Serviços de construção de minas e suas unidades industriais"
"07.05","1.0102.80.00","Serviços de construção de instalações para recreação e atividades desportivas ao ar livre"
"07.05","1.0102.90.00","Serviços de construção de obras de engenharia civil não classificados em subposições anteriores"
"07.05","1.0107.30.00","Serviços de pintura"
"07.06","1.0106.50.00","Serviços de instalação de isolamentos"
"07.06","1.0107.10.00","Serviços de vidraçaria"
"07.06","1.0107.20.00","Serviços de gesso e de estuque"
"07.06","1.0107.40.00","Serviços de revestimento de pisos e de paredes"
"07.07","1.0107.40.00","Serviços de revestimento de pisos e de paredes"
"07.08","1.0107.90.00","Serviços de acabamento não classificados em subposições anteriores"
"07.09","1.2406.10.00","Serviços de varrição de vias e áreas públicas"
"07.09","1.2402.20.00","Serviços de esvaziamento e limpeza de fossas sépticas"
"07.09","1.2403.11.00","Serviços de coleta de resíduos de serviços de saúde e outros resíduos biológicos"
"07.09","1.2403.12.00","Serviços de coleta de resíduos perigosos industriais, exceto resíduos de serviços de saúde e outros resíduos biológicos"
"07.09","1.2403.19.00","Serviços de coleta de outros resíduos perigosos não classificados em subposições anteriores"
"07.09","1.2403.21.00","Serviços de coleta de resíduos recicláveis, não perigosos, de origem doméstica"
"07.09","1.2403.22.00","Serviços de coleta de resíduos recicláveis, não perigosos, exceto de origem doméstica"
"07.09","1.2403.31.00","Serviços de coleta de resíduos gerais de origem doméstica"
"07.09","1.2403.32.00","Serviços de coleta de resíduos gerais, exceto de origem doméstica"
"07.09","1.2404.11.00","Serviços de triagem, preparação, consolidação e estocagem de resíduos perigosos"
"07.09","1.2404.12.00","Serviços de demolição e desmantelamento de embarcações, veículos e outros bens"
"07.09","1.2404.13.00","Serviços de triagem, preparação, consolidação e estocagem de resíduos recicláveis não perigosos"
"07.09","1.2404.19.00","Serviços de triagem, preparação, consolidação e estocagem de resíduos não perigosos, exceto os recicláveis"
"07.09","1.2404.33.00","Serviços de incineração de resíduos não perigosos"
"07.10","1.1803.10.00","Serviços gerais de limpeza"
"07.10","1.1803.22.00","Serviços de limpeza de janelas"
"07.10","1.1803.29.00","Serviços especializados de limpeza não classificados em subposições anteriores"
"07.10","1.2405.14.00","Serviços de remediação em edificações"
"07.10","1.2406.90.00","Serviços de limpeza urbana e similares não classificados em subposições anteriores"
"07.10","1.2407.00.00","Serviços de proteção ambiental não classificados em posições anteriores"
"07.11","1.1409.11.00","Serviços de design de interiores para espaços comerciais e públicos"
"07.11","1.1409.12.00","Serviços de design de interiores para espaços residenciais"
"07.11","1.1806.70.00","Serviços de jardinagem"
"07.12","1.2404.21.00","Serviços de tratamento de resíduos perigosos"
"07.12","1.2404.22.00","Serviços de eliminação de resíduos perigosos"
"07.12","1.2404.31.00","Serviços de tratamento e eliminação de resíduos não perigosos em aterros sanitários"
"07.12","1.2404.32.00","Serviços de tratamento e eliminação de resíduos não perigosos em aterros, exceto os sanitários"
"07.12","1.2404.39.00","Serviços de tratamento e eliminação de resíduos não perigosos não classificados em subposições anteriores"
"07.12","1.2405.11.00","Serviços de remediação e limpeza do ar"
"07.12","1.2405.12.00","Serviços de remediação e limpeza de águas de superfície"
"07.12","1.2405.13.00","Serviços de remediação e limpeza do solo e de águas subterrâneas"
"07.12","1.2405.20.00","Serviços de contenção, controle e monitoramento de áreas contaminadas"
"07.12","1.2405.90.00","Serviços de remediação não classificados em subposições anteriores"
"07.13","1.1803.21.00","Serviços de desinfecção e extermínio de pragas"
"07.16","1.1105.41.00","Exploração de recursos vegetais, inclusive florestais"
"07.16","1.1901.10.00","Serviços de apoio à agricultura"
"07.16","1.1901.30.00","Serviços de apoio à produção florestal (silvicultura)"
"07.16","1.0602.31.00","Serviços de armazenagem de granéis sólidos"
"07.17","1.0105.11.00","Serviços de estaqueamento"
"07.18","1.2406.90.00","Serviços de limpeza urbana e similares não classificados em subposições anteriores"
"07.19","1.1402.15.00","Serviços de arquitetura relativos ao acompanhamento e fiscalização da execução de projetos arquitetônicos e urbanísticos"
"07.19","1.1403.21.10","Serviços de engenharia para projetos de construção residencial"
"07.19","1.1403.21.20","Serviços de engenharia para projetos de construção não residencial"
"07.19","1.1403.30.00","Serviços de gerenciamento de projetos de construção"
"07.20","1.1404.21.00","Serviços topográficos"
"07.20","1.1404.22.00","Serviços cartográficos"
"07.20","1.1404.19.00","Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores"
"07.21","1.1404.19.00","Serviços geológicos, geofísicos e outros de prospecção não classificados em subposições anteriores"
"07.21","1.1902.10.00","Serviços de apoio à extração de petróleo e gás"
"07.21","1.1902.90.00","Serviços de apoio à mineração não classificados em subposições anteriores"
"07.22","1.1901.10.00","Serviços de apoio à agricultura"
"08.01","1.2201.11.00","Serviços de creche ou entidade equivalente"
"08.01","1.2201.12.00","Serviços de pré-escola"
"08.01","1.2201.19.00","Serviços de educação infantil não classificados em subposições anteriores"
"08.01","1.2201.20.00","Serviços de ensino fundamental"
"08.01","1.2201.30.00","Serviços de ensino médio"
"08.01","1.2202.00.00","Serviços de educação técnica de nível médio"
"08.01","1.2203.10.00","Serviços de ensino fundamental de jovens e adultos"
"08.01","1.2203.20.00","Serviços de ensino médio de jovens e adultos"
"08.01","1.2204.10.00","Serviços educacionais de graduação"
"08.01","1.2204.20.00","Serviços educacionais de pós-graduação"
"08.01","1.2204.30.00","Serviços educacionais de extensão"
"08.01","1.2204.40.00","Serviços educacionais de cursos sequenciais"
"08.02","1.2205.11.00","Serviços de educação com enfoque cultural"
"08.02","1.2205.13.00","Serviços de educação em línguas estrangeiras e de sinais"
"08.02","1.2205.19.00","Serviços de educação, inclusive treinamento não classificados em subposições anteriores"
"08.02","1.2205.20.00","Serviços de apoio aos serviços educacionais"
"09.01","1.0303.11.00","Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, com serviços diários de faxina"
"09.01","1.0303.12.00","Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, sem serviços diários de faxina"
"09.01","1.0303.13.00","Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em propriedades partilhadas"
"09.01","1.0303.14.00","Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em quartos de múltipla ocupação"
"09.01","1.0303.20.00","Serviços de acampamentos turísticos (camping)"
"09.01","1.0303.90.00","Serviços de hospedagem para visitantes não classificados em subposições anteriores"
