codigo,descricao,tipo_operacao,gera_credito_ibs,gera_credito_cbs,primeira_etapa_cadeia
1912,"Entrada de mercadoria ou bem recebido para demonstração",ENTRADA,false,false,false
1913,"Retorno de mercadoria ou bem remetido para demonstração",ENTRADA,false,false,false
1914,"Retorno de mercadoria ou bem remetido para exposição ou feira",ENTRADA,false,false,false
1915,"Entrada de mercadoria ou bem recebido para conserto ou reparo",ENTRADA,true,true,false
1916,"Retorno de mercadoria ou bem remetido para conserto ou reparo",ENTRADA,false,false,false
1917,"Entrada de mercadoria recebida em consignação mercantil ou industrial",ENTRADA,true,true,false
1918,"Devolução de mercadoria remetida em consignação mercantil ou industrial",ENTRADA,true,true,false
1919,"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial",ENTRADA,true,true,false
1920,"Entrada de vasilhame ou sacaria",ENTRADA,true,true,false
1921,"Retorno de vasilhame ou sacaria",ENTRADA,false,false,false
1922,"Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro",ENTRADA,true,true,false
1923,"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem",ENTRADA,true,true,false
1924,"Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",ENTRADA,true,true,false
1925,"Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente",ENTRADA,false,false,false
1926,"Lançamento efetuado a título de reclassificação de mercadoria decorrente de formação de kit ou de sua desagregação",ENTRADA,true,true,false
1931,"Lançamento efetuado pelo tomador do serviço de transporte quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não inscrito na unidade da Federação onde iniciado o serviço.",ENTRADA,true,true,false
1932,"Aquisição de serviço de transporte iniciado em unidade da Federação diversa daquela onde inscrito o prestador.",ENTRADA,true,true,false
1933,"Aquisição de serviço tributado pelo ISSQN",ENTRADA,true,true,false
1934,"Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral",ENTRADA,true,true,false
1949,"Outra entrada de mercadoria ou prestação de serviço não especificada",ENTRADA,true,true,false
2101,"Compra para industrialização ou produção rural",ENTRADA,true,true,false
2102,"Compra para comercialização",ENTRADA,true,true,false
2111,"Compra para industrialização de mercadoria recebida anteriormente em consignação industrial",ENTRADA,true,true,false
2113,"Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil",ENTRADA,true,true,false
2116,"Compra para industrialização ou produção rural originada de encomenda para recebimento futuro",ENTRADA,true,true,false
2117,"Compra para comercialização originada de encomenda para recebimento",ENTRADA,true,true,false
2118,"Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem",ENTRADA,true,true,false
2120,"Compra para industrialização, em venda à ordem, já recebida do vendedor remetente",ENTRADA,true,true,false
2121,"Compra para comercialização, em venda à ordem, já recebida do vendedor remetente",ENTRADA,true,true,false
2122,"Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente",ENTRADA,true,true,false
2125,"Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria",ENTRADA,true,true,false
2126,"Compra para utilização na prestação de serviço sujeita ao ICMS",ENTRADA,true,true,false
2128,"Compra para utilização na prestação de serviço sujeita ao ISSQN",ENTRADA,true,true,false
2131,"Entrada de mercadoria com previsão de posterior ajuste ou fixação de preço, decorrente de operação de ato cooperativo.",ENTRADA,true,true,false
2132,"Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para comercialização.",ENTRADA,true,true,false
2135,"Fixação de preço de produção do estabelecimento produtor, inclusive quando remetidas anteriormente com previsão de posterior ajuste ou fixação de preço, em ato cooperativo, para industrialização.",ENTRADA,true,true,false
2150,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS",ENTRADA,true,true,false
2151,"Transferência para industrialização ou produção rural",ENTRADA,true,true,false
2153,"Transferência de energia elétrica para distribuição",ENTRADA,true,true,false
2154,"Transferência para utilização na prestação de serviço",ENTRADA,true,true,false
2159,"Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo",ENTRADA,true,true,false
2201,"Devolução de venda de produção do estabelecimento",ENTRADA,true,true,false
2202,"Devolução de venda de mercadoria adquirida ou recebida de terceiros",ENTRADA,true,true,false
2203,"Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio",ENTRADA,true,true,false
